字	廣韻字號	小韻號	IPA	Baxter Sagart gloss (rough meaning only)	廣韻 gloss
⌸艹大雨	20975	3291	tsʰit		俗桼膠桼說文曰木汁可以䰍物从木象形桼如水滴而下也經典通用漆
⿰隺犬	20845	3276	kʰɣɔk		至也髙也
⿱⿰来攵正	13590	1883	tɕie̋ŋ		俗整正也齊也之郢切二
⿱入疌	24914	3817	ɳiep		織⿱入?疌
⿱𥫗瀸	5042	576	dzen		上同𥮒說文曰蔽絮簀也或作⿱𥫗汧
一	20966	3290	ʔjit	one	數之始也物之極也同也少也初也又虜三字姓後魏書一那婁氏後改爲婁氏於悉切三
丁	7766	895	ʈɣɛŋ	sound of beating	上同朾詩曰伐木丁丁伐木聲也中莖切七
丁	8043	935	teŋ	4th heavenly stem	當也亦辰名爾雅云太歳在下曰強圉又姓本自姜姓齊太公子伋諡丁公因以命族出濟陽濟隂二望當經切八
丂	12910	1729	kʰɑ̋w	to sob	氣欲舒皃
七	20969	3291	tsʰit	seven	數也親吉切十
丄	13352	1827	dʑiɑ̋ŋ		古文上登也升也時掌切又音尚二
丄	18892	2905	dʑiɑŋʱ		古文上君也猶天子也又時兩切
丅	13125	1772	ɦɣa̋		古文下賤也去也後也底也降也胡雅切四
万	17360	2599	mwiɐnʱ		十千又虜三字姓二氏西魏有柱國万紐于謹周書唐瑾樊深並賜姓万紐于氏無販切十八
万	24350	3732	mək		虜複姓北齊特進互俟普俟音其
丈	13298	1814	ɖiɑ̋ŋ	ten feet	說苑曰十尺爲丈直兩切四
三	9379	1090	sɑm	three	數名又漢複姓五氏三閭氏三閭大夫屈原之後也沛上計三烏群三烏大夫之後也三飯尞之後有三飯氏三州孝子之後有三州氏後單姓州蜀志有三丘務蘇甘切五
三	19755	3127	sɑmʱ	three times	三思蘇暫切又蘇甘切一
上	13351	1827	dʑiɑ̋ŋ	ascend	登也升也時掌切又音尚二
上	18891	2905	dʑiɑŋʱ	top, above (n.)	君也猶天子也又時兩切
下	13124	1772	ɦɣa̋	down	賤也去也後也底也降也胡雅切四
下	18729	2870	ɦɣaʱ	descend	行下又胡雅切
不	8638	1005	piu	not	弗也又姓晉書有汲郡人不準盜發六國時魏王冢得古文竹書今之汲冢記也甫鳩切又甫九甫救二切五
不	13833	1938	piű		弗也說文作𠀚鳥飛上翔不下來也从一一天也象形又甫鳩甫救二切
不	21332	3341	piut		與弗同又府鳩方久二切
与	10625	1327	jiɤ̋	give; for; and	上同與善也待也說文曰黨與也余吕切又余譽二音七
丏	12154	1610	me̋n		不見也
丐	16437	2423	kɑiʱ		上同匃本又音緬乞也[丏/丐]
丑	13786	1930	ʈʰiű	2d earthly branch	辰名爾雅曰太歳在丑曰赤奮若敕久切三
且	2195	245	tsiɤ	[final particle]	語辝也說文薦也子魚切又七也切四
且	13134	1776	tsʰia̋	moreover	語辝七也切又子余切一
丕	1570	176	pʰi	great	大也亦姓左傳晉大夫丕鄭敷悲切十二
丗	16397	2410	ɕieiʱ		代也又姓風俗通云戰國時有秦大夫丗鈞舒制切三
丘	8615	1002	kʰiu		聚也空也大也又丘陵爾雅非人爲之曰丘郭璞云地自然生說文作丠亦姓出吳興河南二望風俗通曰魯左丘明之後又云齊太公封於營丘支孫以地爲氏代居扶風漢末丘俊持節江淮屬王莽簒位遂留江左居吳興也又漢複姓四十四氏左傳齊有藉丘子鉏梁丘據閭丘嬰莒有著丘公渠丘公後並因邑爲氏晉有虞丘書爲乗馬御祖氏家記有太中大夫東安於丘淵史記有狐丘子林楚有苞丘先生齊桓公至麥丘麥丘人年八十三祝桓公封於麥丘其後氏焉孟子齊有曼丘不擇又有咸丘蒙隱居列仙傳有浮丘公梁州刺史莊丘黑魯莊公庶子食采於瑕丘其後氏焉齊有勇士葘丘[訴/訢]神仙傳漢有稷丘子又有廩丘充隱居齊魯之閒楚有列威將軍何丘寄楚文王庶子食采於軒丘其後爲氏周宣王支庶食采於謝丘其後爲氏漢有趙人吾丘壽王又有曹丘先生侍御史余丘炳鉅鹿太守莊丘勝以勇力聞安丘望之注老子列仙傳有髙邑人商丘子胥藝文志有桑丘公漢有吳人龍丘萇隱居不屈濟北蛇丘惑爲河内太守魏有幽豫二州刺史母丘儉吳有平原陶丘洪晉有雍丘洛以武力聞何氏姓苑云漢有司隷校尉水丘岑古有蔡丘欣喪馬淮陽東海北丘氏又有羌丘常丘崎丘獻丘陽丘逢丘厚丘泥丘等氏又虜複姓二氏後魏獻帝次弟丘敦氏後改爲丘氏丘林氏後改爲林氏去鳩切六
丙	13487	1856	pia̋ŋ	3d heavenly stem	辰名爾雅云太𡻕在丙曰柔兆又光也明也又姓風俗通云齊有大夫丙歜兵永切九
丞	8236	947	dʑɨŋ	assist	佐也翊也物理論曰髙祖定天下置丞相以統文德立大司馬以整武事爲二府也
丞	19242	3018	dʑɨŋʱ		縣名在沂州匡衡所居常證切又音承一
丠	8616	1002	kʰiu		古文丘聚也空也大也又丘陵爾雅非人爲之曰丘郭璞云地自然生說文作丠亦姓出吳興河南二望風俗通曰魯左丘明之後又云齊太公封於營丘支孫以地爲氏代居扶風漢末丘俊持節江淮屬王莽簒位遂留江左居吳興也又漢複姓四十四氏左傳齊有藉丘子鉏梁丘據閭丘嬰莒有著丘公渠丘公後並因邑爲氏晉有虞丘書爲乗馬御祖氏家記有太中大夫東安於丘淵史記有狐丘子林楚有苞丘先生齊桓公至麥丘麥丘人年八十三祝桓公封於麥丘其後氏焉孟子齊有曼丘不擇又有咸丘蒙隱居列仙傳有浮丘公梁州刺史莊丘黑魯莊公庶子食采於瑕丘其後氏焉齊有勇士葘丘[訴/訢]神仙傳漢有稷丘子又有廩丘充隱居齊魯之閒楚有列威將軍何丘寄楚文王庶子食采於軒丘其後爲氏周宣王支庶食采於謝丘其後爲氏漢有趙人吾丘壽王又有曹丘先生侍御史余丘炳鉅鹿太守莊丘勝以勇力聞安丘望之注老子列仙傳有髙邑人商丘子胥藝文志有桑丘公漢有吳人龍丘萇隱居不屈濟北蛇丘惑爲河内太守魏有幽豫二州刺史母丘儉吳有平原陶丘洪晉有雍丘洛以武力聞何氏姓苑云漢有司隷校尉水丘岑古有蔡丘欣喪馬淮陽東海北丘氏又有羌丘常丘崎丘獻丘陽丘逢丘厚丘泥丘等氏又虜複姓二氏後魏獻帝次弟丘敦氏後改爲丘氏丘林氏後改爲林氏去鳩切六
丣	13867	1943	jiű		古文酉飽也老也就也首也又辰名爾雅曰太歳在酉曰作噩又姓魏有酉牧與久切二十一
並	13732	1916	be̋ŋ	side by side, together	上同竝比也蒲迥切四
丨	11810	1539	kwőn		上下相通
丩	8635	1004	kiu		相糾繚也
个	18544	2825	kɑʱ	tally, piece, item	明堂四面偏室曰左个也
丫	6830	781	ʔɣa		象物開之形
中	63	3	ʈiuŋ	center	平也成也宜也堪也任也和也半也又姓漢少府郷中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四
中	14652	2112	ʈiuŋʱ	hit the center	當也陟仲切又陟沖切二
丮	23268	3601	kiak	grasp	持也
丯	16695	2475	kɣɛiʱ		草[介/芥]
丰	575	60	pʰiowŋ		丰茸美好說文本作𡴀草盛𡴀[-/𡴀]也從生上下達也
丱	17779	2676	kɣwanʱ		𩮀角也幼稚也
串	17782	2676	kɣwanʱ	custom	穿也習也
丳	12062	1596	tʂʰɣɛ̋n		炙肉丳也
丵	20724	3268	ɖʐɣɔk		叢生草
丶	10888	1365	ʈwiő		𪐴點義與上同柱柱夫草一名搖車也說文曰有所絶止而識之也
丸	4710	522	ɦwɑn	pellet; ball	彈丸
丹	4612	509	tɑn	cinnabar	赤也說文曰巴越之赤石也亦州名春秋時白翟所居後魏置汾州廢帝三年以河東汾州同乃改爲丹州亦姓晉有大夫丹木出風俗通
主	10875	1362	tɕwiő	master; host	掌也領也典也守也君也說文曰鐙中火主又姓出姓苑之𢈔切五
丼	14275	2018	tə̋m		姓也
丽	16155	2380	leʱ		本也又鹿皮
丿	16341	2404	jieiʱ		至[也/地]
丿	22482	3487	pʰet		[左/右]戾
乀	21406	3349	pʰiut		左戾曰乀
乂	17059	2550	ŋiɐiʱ	mow, cut (v.)	才也
乃	11378	1449	nə̋i	your	語辭也汝也奴亥切三
久	13797	1933	kiű	a long time	長久也舉有切七
之	1615	186	tɕɨ	go to	適也往也閒也亦姓出姓苑止而切四
乍	18713	2867	ɖʐɣaʱ	suddenly	鋤駕切五
乎	2658	280	ɦo	(Q particle)	極也辝也
乏	25322	3869	bwiɐp	lack (v.)	匱也房法切三
乑	9179	1063	ŋim		衆立皃
乖	3347	344	kɣwɛi	oppose; disorder	睽也離也戾也背也古懷切四
乗	8278	954	ʑɨŋ		駕也勝也登也守也說文作椉覆也又姓漢有乗昌爲煑棗侯
乗	19208	3007	ʑɨŋʱ		車乗也實證切又食陵切七
乙	21179	3315	ʔit	2nd heavenly stem	辰名爾雅云太歳在乙曰旃蒙亦姓前燕有護軍乙逸又虜複姓三氏後魏獻帝命叔父之胤曰乙旃氏後改爲叔氏前燕録有髙麗王乙弗利後魏有都督乙干貴又虜三字姓有乙速孤氏於筆切三
乚	11640	1507	ʔiɨ̋n		匿也
乜	13133	1775	mia̋		蕃姓彌也切一
九	13798	1933	kiű	nine	數也又漢複姓二氏何氏姓苑云昔岱縣人姓九百名里爲縣小吏而功曹姓萬縣中語曰九百小吏萬功曹列子秦穆公時九方皐一名[甄/歅]善相馬也
乞	21433	3355	kʰiɨt	beg, ask	求也說文本作气音氣今作乞取之乞又虜複姓晉有乞伏國仁太元十年稱秦王於金城去訖切三
也	13099	1766	jia̋	(final particle)	語助辝之終也
乳	10890	1366	nʑwiő	milk; nipple	柔也而主切三
乾	4669	517	kɑn	dry	字樣云本音虔今借爲乾濕字又姓出何氏姓苑
乾	5538	636	ɡien	heaven; heavenly	天也君也堅也渠焉切又音干九
亂	17675	2656	lwɑnʱ	disorder, rebellion	理也又兵㓂也不理也俗作乱郎段切四
亄	15162	2229	ʔiʱ		貪也
亄	21181	3315	ʔit		貪也
亅	21512	3361	ɡwiɐt		說文曰鉤逆者謂之亅象形
了	12509	1667	le̋w		慧也訖也盧鳥切十四
予	2074	231	jiɤ	I, we	我也又餘佇切
予	10628	1327	jiɤ̋	give; together with	古文歟歎也又音余
事	15278	2257	tʂɨʱ		事刄又作剚倳
事	15331	2267	ɖʐɨʱ	serve; service, affair	使也立也由也鉏吏切又側吏切二
二	15140	2226	nʑiʱ	two	說文云地之數也而至切五
亍	15757	2336	ʈwioʱ		步止也
亍	20691	3265	ʈʰiowk		彳亍
于	2267	253	ɦwio	go; at	曰也於也說文本作亏凡從于者作亏同又姓周武王子邘叔子孫以國爲氏其後去邑單爲于漢有丞相東海于定國又望出河南者即後魏書万忸于氏後改爲于氏凡諸姓望在後而稱河南者皆虜姓後魏孝文詔南遷者死不得還北即葬洛陽故虜姓皆稱河南焉又漢複姓五氏後漢特進漁陽鮮于輔𡊮紹大將軍淳于瓊劉元海太史令宣于修之何氏姓苑有多于氏鬬于氏羽俱切二十
云	4126	456	ɦiun	say	辝也言也說文古文雲字亦姓出自祝融之後
互	15842	2349	ɦoʱ	intertwining	差互俗作㸦餘倣此
五	10996	1381	ŋő	five	數也又姓左傳有五奢亦漢複姓四氏漢有五鹿充宗風俗通云氏於職焉三烏五鹿是也趙有將軍五鳩盧國語云楚昭王時有五參蹇姓苑有五里氏疑古切五
井	13622	1892	tsie̋ŋ	well (n.)	說文曰八家一井象構韓形·𦉥之象也古者伯益初作丼今作井見經典省又姓姜子牙之後也左傳有井伯子郢切二
亖	15164	2230	siʱ		籀文
亘	19255	3023	kəŋʱ		通也遍也竟也出方言古鄧切六
些	6948	801	sia		少也寫邪切一
些	16021	2367	seʱ		可也此也辝也何也楚音[-/又]蘇箇切
些	18572	2834	sɑʱ		楚語辝蘇箇切又音細一
亞	18668	2861	ʔɣaʱ	secondary	次也就也醜也衣嫁切十
亟	15367	2274	kʰɨʱ	often	數也遽也去吏切又紀力切三
亟	24157	3711	kɨk	urgently	急也疾也趣也又音氣
亡	7146	822	mwiɑŋ	flee; disappear; die	無也滅也[進/逃]也說文正作亾武方切十[二/一]
亢	7345	841	kɑŋ	lift high	星名一曰亢父縣說文人頸也
亢	18988	2934	kʰɑŋʱ		髙也旱也亦姓出姓苑
交	6029	688	kɣaw	cross (v.)	戾也共也合也領也古肴切二十二
亥	11384	1451	ɦə̋i	12th earthly branch	辰名爾雅云太歳在亥曰大淵獻亦姓[戰國䇿晉/孟子]有亥唐胡改切四
亦	23618	3652	jiek	armpit	揔也俗作⿱𠂊灬
亨	7612	869	hɣaŋ	penetrate	通也或作亯又匹庚許兩二切
亨	7639	874	pʰiaŋ		煑也俗作烹又許庚許兩二切
亨	13283	1811	hiɑ̋ŋ	sacrificial offering	上同亯亦作享獻也祭也臨也向也歆也書傳云奉上謂之亯
京	7650	876	kiaŋ	hill; capital city	大也廣雅曰四起曰京風俗通曰京非人力所成天地性自然也京[-/師]義亦取此公羊曰京者大也師者衆也天子之居必以衆大之辝言之又姓風俗通云鄭武公子段封於京號京城大叔其後氏焉漢有京房
亭	8028	934	deŋ	manage	今亭子名釋名曰亭停也人所停集也漢典職曰洛陽二十街街一亭十二城門門一亭也
亮	18823	2894	liɑŋʱ	brightness	㓪也導也亦姓出姓苑力讓切十五
亯	13282	1811	hiɑ̋ŋ		獻也祭也臨也向也歆也書傳云奉上謂之亯
亳	23089	3581	bɑk		國名春秋時陳地漢爲沛之譙縣魏爲譙郡晉爲南兖州齊爲亳州
亶	11852	1551	tɑ̋n	sincere, truly	信也厚也大也[多也/多穀也]穀也俗作亶多旱切又遮連切八
亹	4483	486	mwon	river-gorge	浩亹地名出漢書地理志云浩音鴿
亹	10522	1311	miui̋	diligent	美也爾雅亹亹勉也
人	3761	406	nʑin	(other) person	天地人爲三才亦漢複姓十氏左傳有寺人披齊有徒人費周有王人子突魯有雍人髙宋有廚人僕鄭有大夫子人九國語吳有行人儀孔子弟子左人郢漢司空掾封人嬰後漢司徒聞人襲
亼	24437	3750	dzip		說文云三合也从入一象三合之形合僉之類皆从此又子入切
什	24412	3747	dʑip	troop of ten men	篇什又什物也
仁	3759	406	nʑin	kind	仁賢莊子曰愛人利物謂之仁釋名曰仁忍也好生惡殺善[惡▼惡字當刪▲]含忍也又姓姓苑云彭城人也如鄰切三
仂	24045	3696	lɨk		不懈
仂	24313	3727	lək		禮祭用數之仂
仃	8049	935	teŋ		伶仃獨也
仄	24269	3718	tʂɨk	slanting, oblique	仄陋說文云側傾也
仆	15708	2327	pʰwioʱ	fall prostrate	僵說文曰頓也
仆	19356	3045	pʰiuʱ	fall prostrate	前倒
仆	19486	3066	pʰəuʱ	fall prostrate	倒也匹候切又匐覆二音五
仆	24377	3736	bək		倒也
仇	8742	1014	ɡiu	mate (*n.)	讎也又姓左傳宋大夫仇牧之後又漢複姓有章仇仇尼二氏隋有章仇大翼善天文
仉	13267	1809	tɕiɑ̋ŋ		姓梁公子仉䁈後也
今	9186	1065	kim	now	對古之稱說文云是時也
介	16678	2475	kɣɛiʱ	armour; scale of animals	大也助也佑也甲也閱也耿介也說文作⿱人忄畫也俗作⿱人力又姓介之推是
仍	8291	956	nʑɨŋ	repeat	因也就也重也頻也又姓出何氏姓苑如乗切七
从	556	57	dziowŋ		古文從說文曰相聽也就也又姓漢有將軍從公何氏姓苑云今東莞人疾容切又即容七恭秦用三切三
仔	1845	206	tsɨ		克也
仔	10490	1302	tsɨ̋		說文克也本又音兹
仕	10477	1300	ɖʐɨ̋	serve	仕官
他	6497	732	tʰɑ	another	俗佗今通用非我也亦虜三字姓後魏書佗駱拔氏後改爲駱氏託何切七
仗	13300	1814	ɖiɑ̋ŋ		憑仗本又音去聲
仗	18876	2901	ɖiɑŋʱ		器仗也又持也直亮切三
付	15741	2334	pwioʱ	give	与也方遇切六
仙	5253	598	sien	immortal (n.)	神仙釋名曰老而不死曰仙仙遷也遷入山也故字從人旁山相然切十二
仛	22953	3570	dɑk		他也
仜	262	25	ɦuŋ		身肥大也
仝	19	2	duŋ		古文同出道書齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五
仝	5404	617	dzwien		上同全見說文完也具也又姓吳有大司馬全琮疾縁切七
仞	17092	2553	nʑinʱ		七尺曰仞
仟	5047	577	tsʰen		千人[-/之]長也又仟眠廣逺也
仠	11894	1556	kɑ̋n		仠長
仡	21413	3351	hiɨt		壯勇皃又魚訖切
仡	21430	3353	ŋiɨt	great, powerful	壯勇皃
仢	22856	3550	dʑiɑk		仢約流星
代	16938	2528	dəiʱ	replace	更代年代亦州名春秋時屬晉其後趙襄子以銅斗擊殺代王取其地至秦隷太原郡漢置雲中鴈門代郡魏爲州又姓史記趙有代舉徒耐切十三
令	5363	613	lien		漢書云金城郡有令居縣顔師古又音零
令	7957	922	lieŋ	send (a person)	使也又吕鄭郎丁二切
令	8115	939	leŋ	脊令 tsjek.leng (a kind of water bird)	漢複姓有令狐氏本自畢萬之後國語云𣈆大夫令狐文子即魏顆也自漢已後丗本太原至邁爲王莽所誅邁少子始居[墩/燉]煌也
令	19119	2982	lieŋʱ	issue a command	善也命也律也法也力政切又力盈切又歷丁切二
令	19198	3004	leŋʱ		令支縣在遼西郡
以	10412	1291	jɨ̋	take, use	用也與也爲也古作㠯羊已切七
仯	18408	2804	tʂʰɣawʱ		仯仯小子
仰	13255	1806	ŋiɑ̋ŋ	lift the face, look up	偃仰也說文舉也魚兩切三
仰	18915	2912	ŋiɑŋʱ		又魚兩切
仲	14629	2103	ɖiuŋʱ	middle (of brothers)	中也爾雅曰中籥謂之仲亦姓風俗通云凡氏於字伯仲叔季是也湯左相有仲虺又漢複姓四氏左傳衞大夫仲叔圉魯有仲顏莊叔宋有司馬仲行寅後漢有山陽仲長統直衆切三
仳	1322	147	bji		仳倠醜女
仳	10217	1238	pʰjie̋		仳離别之意
仳	10351	1272	bi̋		離也又芳比切
仵	11000	1381	ŋő		偶敵又伍仵皆姓出姓苑
件	12340	1635	ɡie̋n	item	分次也其輦切四
价	16687	2475	kɣɛiʱ		善也又佋价也
仸	12594	1679	ʔie̋w		仸僑不伸又尪弱皃
仹	587	60	pʰiowŋ		仙人
任	9092	1053	nʑim		堪也保也當也又姓出樂安黃帝二十五子十二人各以德爲姓第[一/七]爲任氏如林切七
任	19612	3087	nʑimʱ	burden; charge (n.)	巳上四字並又音壬
份	3936	432	pin		說文曰文質備也
仿	13320	1819	pʰwiɑ̋ŋ		說文曰相似也
伀	431	45	tɕiowŋ		志及衆也
企	10243	1248	kʰjie̋	stand on tiptoe	企望也丘弭切又去智切二
企	14857	2176	kʰjieʱ	stand on tiptoe	望也去智切六
伂	16483	2430	pɑiʱ		顚伂本亦作沛
伃	2071	231	jiɤ		上同妤婕妤婦人官也亦作倢伃
伄	18178	2759	tewʱ		伄儅不當皃
伆	11590	1499	miűn		離也又武弗切
伆	21320	3340	miut		離也又武粉切
伈	14092	1981	si̋m		伈伈恐皃
伉	18987	2934	kʰɑŋʱ		伉儷敵也又姓漢有伉喜爲漢中[大夫/太守]出風俗通
伊	1429	159	ʔji	this	惟也因也侯也亦水名又州本伊吾廬地在燉煌之北大磧之外秦末有之漢爲伊吾屯隋爲郡貞觀初慕化内附置伊州焉又姓伊尹之後今山陽人於脂切五
伋	24490	3759	kip		孔伋字子思
伍	10999	1381	ŋő	group of five	行伍說文曰相參伍也周禮曰五人爲伍
伎	948	105	ɡjie		舒散又音技
伎	10046	1211	ɡie̋	skill	侣也
伎	14740	2150	tɕieʱ		傷害也詩云鞫人伎忒亦作忮
伏	19413	3055	biuʱ	hatch (v.)	鳥菢子又音服
伏	20163	3201	biuk	lie prostrate	匿藏也伺也隱也[歷也釋名/歷忌釋]曰伏者何金氣伏藏之日金畏火故三伏皆庚日又姓出平昌本自伏犧之後漢有伏勝文帝蒲輪徵不至房六切三十三
伐	21447	3357	bwiɐt	cut; strike; attack	征也斬木也又自矜曰伐房越切十四
休	8683	1010	hiu	rest (v.)	美也善也慶也息也又木名許尤切十三
伭	5099	581	ɦen		說文作𠆺泿也
伯	23249	3599	pɣak	father’s elder brother	長也又侯伯周書曰率衆時作謂之伯亦姓左傳晉有大夫伯宗又漢複姓二氏韓子有伯夫氏墨家流莊子有伯成子髙博陌切八
估	10983	1380	kő		市稅
伱	10519	1310	ɳɨ̋		秦人呼傍人之稱乃里切二
伴	11978	1571	bwɑ̋n	comrade	侣也依也蒲旱切三
伴	17729	2664	bwɑnʱ		伴奐見詩
伶	8093	939	leŋ		樂人
伷	19316	3035	ɖiuʱ		系也
伸	3771	410	ɕin	stretch, extend	舒也理也直也信也
伹	2105	233	tsʰiɤ		拙人
伹	11006	1383	dző		淺也
伺	1660	190	sɨ		伺𠊱?又息吏切
伺	15269	2255	sɨʱ		伺候也察也
伻	7807	900	pʰɣɛŋ		使人
似	10419	1292	zɨ̋	resemble	嗣也類也象也詳里切十五
伽	6681	759	ɡiɑ		伽藍求迦切三
伾	1572	176	pʰi		有力
伿	14742	2150	tɕieʱ		惰也又以智切
伿	14820	2167	jieʱ		惰也
佀	10420	1292	zɨ̋		上同似嗣也類也象也詳里切十五
佁	10417	1291	jɨ̋		癡也說文讀若騃又夷在切
佁	11407	1460	jə̋i		癡也夷在切一
佁	15291	2260	ʈʰɨʱ		佁儗不前
佂	7950	919	tɕieŋ		佂伀遽行皃
佃	5128	584	den		作田也說文云中也春秋傳曰乗中佃一轅車古輕車也又音甸
佃	17886	2699	denʱ	hunt	營田
佅	16779	2493	mɣaiʱ		僸佅
但	4654	515	dɑn		語辝亦姓何氏姓苑云漢有但巴爲濟隂太守又徒旱切又徒旦切
但	11873	1554	dɑ̋n	only	語辝又空也徒也徒旱切十一
但	17539	2638	dɑnʱ		辤也又徒亶切
佇	10615	1326	ɖiɤ̋		久立也直吕切九
佈	15880	2353	poʱ		佈徧也
佉	6684	760	kʰiɑ		丘伽切四
佊	9992	1203	pie̋		埤蒼云佊邪也
佊	14782	2160	pieʱ		[哀/衺]也論語云子西佊哉
佋	5877	669	dʑiew		廟佋穆也或作昭父昭子穆孝經䟽云昭明也穆敬也故昭南向穆北向孫從父坐又市沼切
佋	12639	1687	dʑie̋w		佋介
佌	10097	1219	tsʰie̋		小舞皃
位	14931	2198	ɦwiʱ	standing, position	正也列也莅也中庭之左右謂之位于愧切一
低	2941	300	te		低昂也俛也重也都奚切俗作仾二十[二/三]
住	15635	2319	ɖwioʱ	stop (v.)	止也又姓出姓苑持遇切三
住	15753	2336	ʈwioʱ		停手又長句切
佐	18550	2827	tsɑʱ	aid, assist	助也則箇切六
佑	19284	3033	ɦiuʱ	assist	佐也助也
佒	7457	850	ʔɑŋ		體不申也
体	11834	1543	bwőn		麤皃又劣也
佔	9599	1125	tem		佔侸輕薄也
何	6522	735	ɦɑ	what	辝也說文儋也又姓出自周成王母弟唐叔虞後封於韓韓滅子孫分散江淮閒音以韓爲何字隨音變遂爲何氏出廬江東海陳郡三望胡歌切七
何	12961	1740	ɦɑ̋		上同荷負荷也胡可切又戸哥切二
佖	21127	3308	bjit		有威儀也
佖	21178	3314	bit		威儀備也
佗	6463	729	dɑ		委委佗佗美也又託何切
佗	6496	732	tʰɑ	other	非我也亦虜三字姓後魏書佗駱拔氏後改爲駱氏託何切七
余	2051	231	jiɤ	1sg., prob. a polite form	我也又姓風俗通云秦由余之後何氏姓苑云今新安人以諸切三十
余	6900	789	dʑia		姓也見姓苑出南昌郡
佚	20999	3295	jit		佚樂
佛	21378	3346	biut	great	牟子曰漢明帝夢神人身有日光飛在殿前以問群臣傅毅對曰天竺有佛將其神也學記曰其施之也悖其求之也佛符弗切九
作	15920	2360	tsoʱ	do, work	造也臧[𧙓/𧙓]切一
作	18555	2827	tsɑʱ		造也本臧洛切
作	23023	3574	tsɑk	do, work	爲也起也行也役也始也生也又姓漢有涿郡太守作顯則落切又則邏臧路二切六
佝	19588	3077	həuʱ		僂佝
佞	19157	2994	neŋʱ	clever	諂也一曰才也俗作侫
佟	366	36	dowŋ		姓也北燕録有遼東佟萬以文章知名
佩	16823	2510	bwoiʱ	to wear at girdle, pendants	玉之帶也說文曰大帶佩也从人从凡从巾佩必有巾巾謂之飾禮曰凡帶必有佩玉蒲昧切十二
佪	3434	367	ɦwoi		玉篇云佪佪惛也
佫	23122	3584	ɦɑk		人姓出纂文
佮	24591	3777	kəp		併佮聚[-/也]
佮	24653	3781	tʰəp		合也
佮	24717	3787	ʔəp		姓也
佯	6962	805	jiɑŋ		詐也或作詳
佯	7189	828	dziɑŋ		弱也
佰	23223	3596	mɣak		一百爲一佰也
佳	3235	323	kɣɛ	good	善也大也好也古膎切二
佴	15302	2261	nʑɨʱ		次也
佴	17002	2538	nəiʱ		姓也山公隻有佴湛
併	13614	1890	pie̋ŋ		併合和也又必姓切
併	13734	1916	be̋ŋ		立竝又必姓切
併	19129	2985	pieŋʱ		兼也並也皆也
佶	21117	3307	ɡit	strong, healthy (horse)	正也閑也
佸	21920	3412	kwɑt		會計曰佸
佸	21939	3414	ɦwɑt		佸會
佹	10031	1208	kwie̋		戾也
佺	5491	629	tsʰwien		偓佺仙人
佻	5620	649	tʰew		輕佻爾雅曰佻偷也
佻	5660	651	dew		獨行皃詩曰佻佻公子
佼	6046	688	kɣaw		交也又古卯切
佼	12705	1700	ɦɣa̋w		庸人之敏說文交也又古巧切
佼	12723	1704	kɣa̋w		女字
佽	15149	2228	tsʰiʱ		佽飛漢武官名又助也利也代也遞也及也
佾	21000	3295	jit	row of dancers	八佾之舞佾行列也
使	10435	1293	ʂɨ̋	send; cause	役也令也又踈事切
使	15317	2262	ʂɨʱ	envoy	穴也
侀	8015	933	ɦeŋ		成也
侁	4085	453	ʂin		行皃詩云侁侁征夫
侂	23018	3573	tʰɑk		毀也說文寄也
侃	11904	1558	kʰɑ̋n		強直也又侃侃和樂皃空旱切二
侃	17561	2641	kʰɑnʱ		正也苦旰切又苦旱切六
侄	20938	3285	tɕit		堅也又牢
侅	3569	384	kʰəi		奇侅非常又古哀切
侅	3606	387	kəi		奇侅
侅	11235	1424	ɦɣɛ̋i		無侅人名又音該
侅	11385	1451	ɦə̋i		奇侅非常
來	3622	389	ləi	a kind of wheat	至也及也還也又姓後漢來歙光武姑子蜀志云荆楚名族有黃門侍郎來𢘆俗作来落哀切二十五
侈	10170	1229	tɕʰie̋	extravagant	奢也泰也大也尺氏切十五
侉	18645	2857	ʔɑʱ		痛呼也安賀切一
侊	7432	846	kwɑŋ		盛皃
侊	7589	867	kɣwaŋ		小皃春秋國語曰侊飯不及壼湌
例	16366	2408	lieiʱ		比也皆也力制切二十五
侍	15328	2266	dʑɨʱ	accompany, wait upon	近也從也承也時吏切三
侎	10163	1227	mjie̋		上同敉撫也愛也安也
侏	2453	263	tɕwio	侏儒 zhūrú 'dwarf'	侏儒短人
侐	15239	2245	hjwiʱ		靜也詩云閟宫有侐火季切又火逼切一
侐	24239	3716	hwɨk	still, quiet	靜也
侑	19296	3033	ɦiuʱ		勸食爾雅曰酬酢侑報也
侒	4623	510	ʔɑn		說文宴也
侔	8813	1016	miu		等也均也齊也
侖	4014	441	lwin		說文思也
侗	38	2	duŋ		楊子法言云倥侗顓蒙
侗	309	29	tʰuŋ		大也
侗	9776	1161	tʰűŋ		直也一曰長大他孔切四
侘	6924	795	ʈʰɣa		侘傺失意敕加切傺丑例切四
