字	廣韻字號	小韻號	IPA	Baxter Sagart gloss (rough meaning only)	廣韻 gloss
𤫵	21933	3413	kʰwɑt		𤓰𤫵
𤫶	22041	3428	kʰɣɛt		勁也恪八切十二
𤬂	20501	3231	towk		瓠𤬂
𤬃	3543	378	pʰwoi		𤓰𤬃
𤬏	8890	1020	ləu		𤫱𤬏苦𤬏
𤬐	8009	933	ɦeŋ		小𤓰
𤬓	14467	2057	le̋m		𤓰名
𤬖	5838	667	ɕiew		𤓰名
𤬖	5861	668	jiew		𤓰也
𤬝	17418	2609	ŋiɐnʱ		瓢也語堰切二
𤬪	9334	1082	kʰəm		瓦器
𤬪	10938	1376	dő		瓶也
𤬯	19844	3157	kʰiɐmʱ		似瓶有耳
𤬵	15945	2362	teʱ		𤬵瓽大瓮
𤬷	22216	3461	ɳɣwat		𤭧也亦作𤬼
𤬾	13021	1748	dwɑ̋		長沙呼甌也
𤭁	31	2	duŋ		上同㼧㼧瓦
𤭏	23260	3600	ɡiak		倦𤭏
𤭏	23769	3669	ʈʰiek		瓶也
𤭓	8020	933	ɦeŋ		並上同鈃酒器似鐘而長頸也㼛
𤭙	9289	1076	ɦəm		似瓶有耳
𤭛	7348	841	kɑŋ		上同堈甕也
𤭞	4513	490	twon		器似甌瓿
𤭢	16914	2522	swoiʱ		說文破也
𤭧	3327	340	kɣɛi		牡瓦
𤮇	487	50	jiowŋ		上同㼸甖也
𤮊	7370	843	kʰɑŋ		瓦也
𤮏	7571	864	ɦɣwaŋ		瓦也
𤮚	3474	370	lwoi		[𤮚/㽌]
𤮜	17996	2717	dʑienʱ		器縁
𤮧	2799	287	lo		酒器
𤮨	246	24	luŋ		上同櫳檻也養獸所也
𤮪	17252	2577	tswinʱ		上同㼱又而隴切獵之韋袴說文曰柔韋也又音耎
𤮭	19879	3170	tʂʰɣamʱ		甖屬
𤮰	3233	321	ʔwe		甑下孔
𤯌	9332	1082	kʰəm		和也又紅談古三二切
𤯎	9372	1088	kɑm		和也
𤯎	9414	1095	ɦɑm		和也又口含古三二切
𤯷	7416	845	ɦwɑŋ		榮也
𤰇	15020	2207	biʱ		說文具也
𤰈	15021	2207	biʱ		古文𤰇說文具也
𤰝	12187	1614	kwe̋n		古文𡿨水小流也深尺廣尺曰𡿨姑泫切八
𤰟	13474	1853	hɑ̋ŋ		鹵𤰟
𤰩	2062	231	jiɤ		上同畬田三歳也
𤰫	700	73	pɣɔŋ		古文邦國也又姓出何氏姓苑博江切四
𤰮	16115	2376	kweʱ		[𤰮/𤱾][𤰮𤲺/𤱾𤳤]
𤱍	891	99	pʰie		耕也
𤱣	9263	1074	nəm		上同䶲龜有距也又如詹切
𤱨	633	65	kiowŋ		㽤也
𤱩	12561	1673	de̋w		𤱩疁[-/田]中穴
𤱹	13695	1903	tʰe̋ŋ		田器
𤱽	2499	266	bwio		小畚器也
𤲍	25139	3843	ɦɣɛp		相著
