Index	Baxter	polyhedron
1933	kjuwX	kiux
1934	syuwX	sjux
1935	tsyhuwX	chjux
1936	dzjuwX	ziux
1937	bjuwX	biux
1938	pjuwX	piux
1939	khjuwX	khiux
1940	nyuwX	njux
1941	gjuwX	giux
1942	drjuwX	driux
1943	yuwX	jux
1944	dzyuwX	zjux
1945	sjuwX	siux
1946	'juwX	qiux
1947	tsjuwX	ciux
1948	srjuwX	sriux
1949	tsyuwX	cjux
1950	phjuwX	phiux
1951	tsrjuwX	criux
1952	dzrjuwX	zriux
1953	tsrhjuwX	chriux
1954	phjuwX	phiux
1955	huwX	ghux
1956	muwX	mux
1957	buwX	bux
1958	tuwX	tux
1959	thuwX	thux
1960	kuwX	kux
1961	nguwX	ngux
1962	puwX	pux
1963	nuwX	nux
1964	suwX	sux
1965	xuwX	hux
1966	phuwX	phux
1967	'uwX	qux
1968	luwX	lux
1969	tsuwX	cux
1970	khuwX	khux
1971	duwX	dux
1972	dzruwX	zrux
1973	tshuwX	chux
1974	'jiwX	qyx
1975	kjiwX	kyx
1976	gjiwX	gyx
1977	tshimX	chimx
1978	drimX	drimx
1979	khjimX	khjimx
1980	limX	limx
1981	simX	simx
1982	trhimX	thrimx
1983	tsimX	cimx
1984	nyimX	njimx
1985	tsyimX	cjimx
1986	syimX	sjimx
1987	zyimX	zsjimx
1988	dzyimX	zjimx
1989	tsyhimX	chjimx
1990	tsrhimX	chrimx
1991	nrimX	nrimx
1992	gimX	gimx
1993	kimX	kimx
1994	dzimX	zimx
1995	ngimX	ngimx
1996	srimX	srimx
1997	pimX	pimx
1998	'imX	qimx
1999	phimX	phimx
2000	khimX	khimx
2001	ximX	himx
2002	trimX	trimx
2003	yimX	jimx
2004	dzrimX	zrimx
2005	komX	komx
2006	domX	domx
2007	'omX	qomx
2008	nomX	nomx
2009	thomX	thomx
2010	dzomX	zomx
2011	tshomX	chomx
2012	ngomX	ngomx
2013	tsomX	comx
2014	somX	somx
2015	khomX	khomx
2016	homX	ghomx
2017	lomX	lomx
2018	tomX	tomx
2019	xomX	homx
2020	kamX	kamx
2021	syamX	sjamx
2022	lamX	lamx
2023	thamX	thamx
2024	tamX	tamx
2025	damX	damx
2026	tshamX	chamx
2027	mamX	mamx
2028	tsamX	camx
2029	dzamX	zamx
2030	xamX	hamx
2031	'amX	qamx
2032	khamX	khamx
2033	yemX	jemx
2034	ljemX	liemx
2035	xjemX	hiemx
2036	pjemX	piemx
2037	tsyemX	cjemx
2038	khjemX	khiemx
2039	ngjemX	ngiemx
2040	gjemX	giemx
2041	kjemX	kiemx
2042	'jiemX	qjemx
2043	nyemX	njemx
2044	syemX	sjemx
2045	trhjemX	thriemx
2046	'jemX	qiemx
2047	dzjemX	ziemx
2048	tshjemX	chiemx
2049	tsjemX	ciemx
2050	khjiemX	khjemx
2051	dzyemX	zjemx
2052	themX	themx
2053	nemX	nemx
2054	temX	temx
2055	demX	demx
2056	khemX	khemx
2057	lemX	lemx
2058	hemX	ghemx
2059	tshemX	chemx
2060	kemX	kemx
2061	memX	memx
2062	ngjaemX	ngiamx
2063	khjaemX	khiamx
2064	'jaemX	qiamx
2065	heamX	ghremx
2066	dreamX	dremx
2067	kheamX	khremx
2068	keamX	kremx
2069	dzreamX	zremx
2070	leamX	lremx
2071	tsreamX	cremx
2072	tsrheamX	chremx
2073	xeamX	hremx
2074	sreamX	sremx
2075	'eamX	qremx
2076	xeamX	hremx
2077	nreamX	nremx
2078	trheamX	thremx
2079	haemX	ghramx
2080	khaemX	khramx
2081	sraemX	sramx
2082	'aemX	qramx
2083	tsrhaemX	chramx
